Sub0, Sub1, Sub2, Sub3, Sub4, Sub5,,
EE202,EE204,EE211,CS206,,,
EE201,EE209,EE210,EE485,CS204,,
EE303,EE321,CS270,CS300,,,
EE304,EE305,,,,,
EE214,EE362,EE403,EE432,,,
CS470,CS471,CS457,BS315,BS357,,
CS341,CS300,CS320,CS492,,,
CS300,CS330,CS320,BS319,,,
CS360,CS376,BS205,BS307,,,
CS311,CS230,BS202,BS316,,,
CS204,CS206,BS209,BS435,,,
EE210,EE202,EE211,,,,
EE201,MSB230,,,,,
EE362,EE303,EE381,,,,
EE204,EE304,MSB441,,,,
EE305,EE352,EE432,IP407,,,
CS300,CS320,CS492,CS481,,,
CS204,MSB238,,,,,
CS376,CS300,CS311,BiS438,,,
CS230,CS360,BS209,BS319,,,
CS204,CS206,BS307,BS205,,,
CS300,BiS223,EE209,EE210,,,
CS311,CS320,BiS232,,,,
CS220,CS230,CS270,CS376,,,
CS431,CS470,,,,,
CS311,CS360,CS376,CS492,,,
CS350,CS492,IE101,,,,
EE202,EE210,EE211,CS204,CS206,,
CS376,CS220,EE304,EE305,,,
EE205,EE210,CS230,EE303,,,
EE201,CS300,EE209,CS320,CS311,,
PH222,PH232,EE202,EE202,,,
PH301,PH311,EE209,EE211,EE303,EE304,
PH391,EE304,EE312,EE362,,,
PH212,PH251,PH301,EE305,EE415,,
EE488,CS204,CS206,CS230,CS376,,
EE323,EE405,CS300,CS330,CS380,CS448,
EE324,EE488,CS320,CS459,CS492,,
CS311,CS360,CS448,CS492,,,
EE204,CS220,CS431,CS530,,,
EE210,CS204,CS206,,,,
EE201,EE209,CS311,,,,
EE202,EE485,CS204,CS230,CS300,,
EE432,CS320,CS330,CS360,,,
EE495,CS341,CS376,CS484,,,
CS371,CS479,CS492,,,,
CS341,CS376,CS484,CS470,,,
CS380,CS492,CS341,,,,
EE202,CS320,CS360,CS372,,,
EE210,CS376,CS489,,,,
CS330,CS470,CD401,,,,
CS220,CS380,,,,,
EE201,EE204,EE485,CS206,,,
EE202,EE209,EE305,CS204,EE303,,
EE414,CS230,CS300,CS376,CS360,,
CS320,CS473,CS482,,,,
CS311,CS402,CS453,CS457,CS481,CS492,
CS479,CS489,,,,,
EE201,EE204,EE209,EE485,,,
MS310,EE209,EE211,MS212,,,
MS212,MS216,EE202,EE210,,,
MS213,MS381,EE304,EE305,,,
MS311,MS321,EE303,EE362,,,
MS340,MS431,MS482,EE305,EE321,EE488,
MS331,EE403,CS311,,,,
MS214,MS322,MS354,MS481,EE405,,
EE201,EE210,,,,,
EE204,EE209,EE303,EE485,,,
CS204,CS206,EE202,EE305,,,
EE321,EE414,EE474,EE477,,,
CS376,CD402,,,,,
CS376,CS360,,,,,
CS230,CS204,CS220,MSB230,,,
CS300,CS311,EE209,EE201,,,
EE202,EE210,EE209,EE485,,,
EE211,EE304,ID202,EE485,,,
CS206,EE303,ID219,,,,
